time_iso8601,forks_cumulative
2022-06-25 00:00:00+00:00,306
2022-07-14 00:00:00+00:00,307
2022-07-19 00:00:00+00:00,308
2022-08-09 00:00:00+00:00,309
2022-08-15 00:00:00+00:00,310
2022-08-18 00:00:00+00:00,311
2022-09-08 00:00:00+00:00,312
2022-09-23 00:00:00+00:00,313
2022-10-09 00:00:00+00:00,315
2022-10-12 00:00:00+00:00,316
2022-11-06 00:00:00+00:00,317
2022-11-27 00:00:00+00:00,318
2022-12-20 00:00:00+00:00,319
2022-12-31 00:00:00+00:00,320
2023-01-29 00:00:00+00:00,322
2023-02-05 00:00:00+00:00,323
2023-02-07 00:00:00+00:00,324
2023-04-10 00:00:00+00:00,325
2023-04-11 00:00:00+00:00,326
2023-04-15 00:00:00+00:00,327
2023-04-18 00:00:00+00:00,328
2023-04-19 00:00:00+00:00,329
2023-04-27 00:00:00+00:00,330
2023-05-18 00:00:00+00:00,331
2023-05-26 00:00:00+00:00,332
2023-05-31 00:00:00+00:00,334
2023-06-15 00:00:00+00:00,335
2023-06-19 00:00:00+00:00,336
2023-07-20 00:00:00+00:00,337
2023-08-01 00:00:00+00:00,338
2023-08-16 00:00:00+00:00,339
2023-08-26 00:00:00+00:00,341
2023-09-18 00:00:00+00:00,342
2023-09-21 00:00:00+00:00,343
2023-09-27 00:00:00+00:00,344
2023-10-31 00:00:00+00:00,345
2023-11-16 00:00:00+00:00,346
2023-12-01 00:00:00+00:00,347
2023-12-02 00:00:00+00:00,348
2023-12-13 00:00:00+00:00,349
2024-01-12 00:00:00+00:00,350
2024-01-18 00:00:00+00:00,351
2024-01-19 00:00:00+00:00,352
2024-01-30 00:00:00+00:00,353
2024-02-06 00:00:00+00:00,354
2024-02-10 00:00:00+00:00,355
2024-03-14 00:00:00+00:00,356
2024-03-28 00:00:00+00:00,357
2024-04-14 00:00:00+00:00,358
2024-04-18 00:00:00+00:00,359
2024-04-25 00:00:00+00:00,360
2024-05-25 00:00:00+00:00,361
2024-05-31 00:00:00+00:00,362
2024-06-15 00:00:00+00:00,363
2024-06-21 00:00:00+00:00,364
2024-06-26 00:00:00+00:00,365
2024-07-11 00:00:00+00:00,366
2024-07-16 00:00:00+00:00,367
2024-07-18 00:00:00+00:00,368
2024-07-28 00:00:00+00:00,369
2024-08-15 00:00:00+00:00,370
2024-08-27 00:00:00+00:00,371
2024-08-30 00:00:00+00:00,372
2024-09-19 00:00:00+00:00,373
2024-09-27 00:00:00+00:00,374
2024-10-27 00:00:00+00:00,375
2024-10-31 00:00:00+00:00,376
2024-11-04 00:00:00+00:00,377
2024-11-23 00:00:00+00:00,378
2024-12-03 00:00:00+00:00,379
2024-12-18 00:00:00+00:00,380
2024-12-19 00:00:00+00:00,381
2024-12-29 00:00:00+00:00,382
2025-01-13 00:00:00+00:00,383
2025-01-29 00:00:00+00:00,384
2025-02-03 00:00:00+00:00,385
2025-02-12 00:00:00+00:00,386
